SL,SPECIES,DIRECT_SERVICE_PROVIDER,INDIRECT_SERVICE_PROVIDER,PREMONSOON,MONSOON,POSTMONSOON,FUNC_GRP,HABITAT,SIZE_CAT,REL_ABUN_CAT
7,Felis chaus,7,,1,1,1,Mammals,Terrestrial,6,1
8,Prionailurus viverrinus,7;8,,1,1,1,Mammals,Terrestrial,6,1
14,Dendrocygna javanica,2;4;7,,1,1,1,Aves,Limnetic,4,3
15,Tadorna ferruginea,2;4,,0,0,1,Aves,Limnetic,5,2
16,Nettapus coromandelianus,2;4;7,,1,0,1,Aves,Limnetic,4,3
17,Spatula querquedula,2;4;7,,0,0,1,Aves,Limnetic,4,2
18,Anas poecilorhyncha,2;4;7,,1,0,1,Aves,Limnetic,5,3
19,Anas acuta,2;4;7,,0,0,1,Aves,Limnetic,5,2
20,Netta rufina,2;4;7,,0,0,1,Aves,Limnetic,5,3
23,Tachybaptus ruficollis,2;4;7,,1,1,1,Aves,Limnetic,4,2
28,Centropus bengalensis,2;4,,1,1,1,Aves,Terrestrial,4,2
32,Gallinula chloropus,2;4;7,,1,0,1,Aves,Limnetic,4,2
33,Fulica atra,2;4;7,,0,0,1,Aves,Limnetic,4,2
34,Porphyrio poliocephalus,2;4;7,,1,1,1,Aves,Terrestrial,4,2
35,Amaurornis phoenicurus,2;4;7,,1,1,1,Aves,Terrestrial,4,2
36,Himantopus himantopus,2;4;7,,1,1,1,Aves,Terrestrial,4,3
37,Pluvialis fulva,2;4;7,,0,0,1,Aves,Terrestrial,4,2
38,Charadrius dubius,2;4;7,,0,0,1,Aves,Terrestrial,4,2
39,Vanellus malabaricus,2;4;7,,0,0,1,Aves,Terrestrial,4,1
40,Vanellus indicus,2;4;7,,1,1,1,Aves,Terrestrial,4,2
41,Metopidius indicus,2;4;7,,1,1,1,Aves,Terrestrial,4,3
42,Hydrophasianus chirurgus,2;4;7,,1,0,1,Aves,Terrestrial,4,2
43,Numenius arquata,2;4;7,,0,0,1,Aves,Terrestrial,5,1
44,Calidris minuta,2;4;7,,0,0,1,Aves,Terrestrial,3,3
45,Xenus cinereus,2;4;7,,0,0,1,Aves,Terrestrial,4,2
46,Tringa ochropus,2;4;7,,0,0,1,Aves,Terrestrial,4,2
47,Tringa nebularia,2;4;7,,0,0,1,Aves,Terrestrial,4,2
48,Tringa stagnatilis,2;4;7,,0,0,1,Aves,Terrestrial,4,2
49,Tringa glareola,2;4,,0,0,1,Aves,Terrestrial,4,2
50,Tringa tetanus,2;4;7,,0,0,1,Aves,Terrestrial,4,2
51,Chroicocephalus brunnicephalus,2;4;7,,0,0,1,Aves,Limnetic,4,1
52,Sternula albifrons,2;4;7,,0,0,1,Aves,Terrestrial,4,1
53,Chlidonias hybrida,2;4;7,,0,0,1,Aves,Terrestrial,4,1
54,Sterna aurantia,2;4;7,,0,0,1,Aves,Terrestrial,4,1
55,Anastomus oscitans,2;4,,1,1,1,Aves,Terrestrial,5,3
56,Mycteria leucocephala,2;4;7,,1,1,1,Aves,Terrestrial,6,2
57,Anhinga melanogaster,2;4,,0,0,1,Aves,Terrestrial,5,2
58,Microcarbo niger,2;4,,1,1,1,Aves,Limnetic,5,3
59,Phalacrocorax fuscicollis,2;4,,0,0,1,Aves,Limnetic,5,2
60,Ardea cinerea,2;4;7,,0,0,1,Aves,Terrestrial,5,2
61,Ardea purpurea,2;4;7,,1,1,1,Aves,Terrestrial,6,2
62,Ardea alba,2;4;7,,1,1,1,Aves,Terrestrial,5,2
63,Ardea intermedia,2;4;7,,1,1,1,Aves,Terrestrial,5,3
64,Egretta garzetta,2;4;7,,1,1,1,Aves,Terrestrial,4,3
65,Bubulcus ibis,2;4;7,,1,1,1,Aves,Terrestrial,4,3
66,Ardeola grayii,2;4;7,,1,1,1,Aves,Terrestrial,4,3
67,Nycticorax nycticorax,2;4;7,,1,1,1,Aves,Terrestrial,5,2
68,Plegadis falcinellus,2;4,,0,0,1,Aves,Terrestrial,5,2
69,Threskiornis melanocephalus,2;4;7,,0,0,1,Aves,Terrestrial,5,1
75,Haliaeetus leucogaster,2;4,,1,1,1,Aves,Terrestrial,5,1
76,Spilornis cheela,2;4,,1,1,1,Aves,Terrestrial,5,1
77,Circus aeruginosus,2;4,,0,0,1,Aves,Terrestrial,4,1
82,Alcedo atthis,2;4;7,,1,1,1,Aves,Terrestrial,4,1
83,Halcyon smyrnensis,2;4;7,,1,1,1,Aves,Terrestrial,4,3
84,Ceryle rudis,2;4;7,,1,1,1,Aves,Terrestrial,4,2
85,Merops orientalis,2;4,,1,1,1,Aves,Terrestrial,4,3
86,Merops philippinus,2;4,,0,1,1,Aves,Terrestrial,4,2
87,Coracias benghalensis,2;4,,1,1,1,Aves,Terrestrial,4,2
94,Oriolus kundoo,2;4,,1,1,1,Aves,Terrestrial,4,2
95,Oriolus xanthornus,2;4,,1,1,1,Aves,Terrestrial,4,2
97,Dicrurus caerulescens,2;4,,0,0,1,Aves,Terrestrial,4,2
106,Hirundo rustica,2;4;7,,1,1,1,Aves,Terrestrial,4,3
114,Acridotheres ginginianus,2;4,,1,1,1,Aves,Terrestrial,4,2
124,Motacilla citreola,2;4;7,,1,1,1,Aves,Terrestrial,4,2
125,Motacilla tschutschensis,2;4;7,,0,0,1,Aves,Terrestrial,4,2
126,Motacilla alba,2;4;7,,0,0,1,Aves,Terrestrial,4,2
128,Duttaphrynus melanostictus,4;7;8,1;2;4;5;6;7;8,1,1,1,Amphibians,Terrestrial,4,3
129,Duttaphrynus scaber,4;7;8,1;2;4;5;6;7;8,1,1,0,Amphibians,Littoral,3,2
130,Fejervarya orissaensis,4;7;8,1;2;4;5;6;7;8,1,1,0,Amphibians,Limnetic,3,2
131,Minervarya agricola,4;7;8,1;2;4;5;6;7;8,1,1,1,Amphibians,Limnetic,3,2
132,Minervarya pierrei,4;7;8,1;2;4;5;6;7;8,1,1,0,Amphibians,Limnetic,3,2
133,Euphlyctis cyanophlyctis,4;7;8,1;2;4;5;6;7;8,1,1,1,Amphibians,Limnetic,3,3
134,Hoplobatrachus tigerinus,4;7;8,1;2;4;5;6;7;8,1,1,1,Amphibians,Limnetic,4,3
135,Hoplobatrachus crassus,4;7;8,1;2;4;5;6;7;8,1,1,0,Amphibians,Limnetic,3,2
136,Sphaerotheca breviceps,4;7;8,1;2;4;5;6;7;8,0,1,0,Amphibians,Terrestrial,3,2
137,Sphaerotheca rolandae,4;7;8,1;2;4;5;6;7;8,0,1,0,Amphibians,Terrestrial,3,2
138,Microhyla mymensinghensis,4;7;8,1;2;4;5;6;7;8,0,1,1,Amphibians,Terrestrial,2,2
139,Uperodon systoma,4;7;8,1;2;4;5;6;7;8,1,1,0,Amphibians,Terrestrial,3,2
140,Hylarana tytleri,4;7;8,1;2;4;5;6;7;8,0,1,0,Amphibians,Terrestrial,3,3
141,Polypedates maculatus,4;7;8,1;2;4;5;6;7;8,1,1,1,Amphibians,Terrestrial,3,3
142,Varanus bengalensis,4;7;8,,1,1,1,Reptiles,Terrestrial,6,1
144,Enhydris enhydris,4;7;8,2;4;7;8,1,1,1,Reptiles,Litoral,5,2
145,Fowlea piscator,4;7;8,2;4;7;8,1,1,1,Reptiles,Litoral,5,2
146,Bungarus fasciatus,4;7;8,2;4;7;8,1,1,0,Reptiles,Terrestial,6,1
147,Naja naja,4;7;8,2;4,1,1,1,Reptiles,Terrestial,6,1
148,Lissemys punctata,4;7;8,7;8,1,1,1,Reptiles,Profoundal,4,2
149,Parambassis baculis,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,2
150,Aplocheilus panchax,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,2
151,Netuma thalassina,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,5,1
152,Badis badis,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,1
153,Mystus tengara,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,4,3
154,Mystus vittatus,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,4,3
155,Xenentodon cancila,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Limnetic,4,1
156,Channa punctata,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,4,3
157,Channa striata,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,5,2
158,Channa gachua,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,4,3
159,Oreochromis niloticus,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,4,3
160,Puntius vittatus,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,3
161,Rasbora daniconius,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,3
162,Pethia phutunio,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,3
163,Glossogobius giuris,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,4,3
164,Heteropneustes fossilis,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,4,1
165,Macrognathus pancalus,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Benthic,4,2
166,Mastacembelus armatus,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,5,2
167,Notopterus notopterus,1;5;6;7;8,1;2;4;5;6;7;8,1,1,1,Fish,Profoundal,4,3
168,Trichogaster lalius,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,2
169,Trichogaster fasciata,1;5;6;7;8,1;2;3;4;5;6;7;8,1,1,1,Fish,Profoundal,3,2
170,Pila globosa,3;5;6;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,3,3
171,Filopaludina bengalensis,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,3,3
172,Idiopoma dissimilis,3;5;7,2;4;7,1,1,1,Mollusca,Litoral,3,3
173,Melanoides tuberculata,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,3,3
174,Tarebia lineata,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
175,Bithynia pulchella,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
176,Gabbia orcula,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
177,Radix rufescens,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,3,3
178,Racesina luteola,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,3,3
179,Gyraulus barrackporensis,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
180,Gyraulus convexiusculus,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
181,Gyraulus euphraticus,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
182,Indoplanorbis exustus,3;5;7,1;2;4;5;6;7;8,1,1,1,Mollusca,Litoral,2,3
183,Macrobrachium malcolmsonii,1;6;7,1;2;4;5;6;7;8,1,1,1,Prawns,Benthic,3,3
184,Macrobrachium rosenbergii,1;6;7,1;2;4;5;6;7;8,1,1,1,Prawns,Benthic,3,3
185,Macrobrachium rude,1;6;7,1;2;4;5;6;7;8,1,1,1,Prawns,Benthic,3,3
186,Macrobrachium equidens,1;6;7,1;2;4;5;6;7;8,1,1,1,Prawns,Benthic,3,3
187,Diplonychus annulatus,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,2,3
188,Diplonychus rusticus,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,2,3
189,Aquarius adelaides,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Neustonic,2,3
190,Limnogonus fossarum,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Neustonic,2,3
191,Laccotrephes griseus,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,3,3
192,Laccotrephes ruber,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,3,3
193,Ranatra elongata,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Profoundal,3,3
194,Ranatra filiformis,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Profoundal,2,3
195,Ranatra varipes,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Profoundal,2,3
196,Anisops campbelli,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,2,3
197,Hydrovatus confertus,3;8,1;2;3;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,2,2
198,Arcella discoides,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
199,Centropyxis aculeata,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
200,Brachionus calyciflorus,3;8,1;3;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
201,Brachionus forficula,3;8,1;3;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
202,Keratella lenzi,3;8,1;3;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
203,Lecane aculeata,3;8,1;3;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
204,Lecane bulla,3;8,1;3;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
205,Asplanchna brightwelli,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
206,Mesocyclops leukarti,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
207,Scapholeberis kingi,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
208,Macrothrix spinosa,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
209,Macrothrix goeldi,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
210,Alona pulchella,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
211,Coronatella rectangula,3;8,1;4;5;6;7;8,1,1,1,Zooplankton,Litoral/Profoundal,1,2
212,Odonata sp.,7;8,1;2;4;5;6;7;8,1,1,1,Aquatic_Insects,Benthic,3,3
213,Mosquito larvae,,1;3;5;6;7;8,1,1,1,Aquatic_Insects,Limnetic,2,3
214,Green Algae,3;4;6;8,1;2;3;4;5;6;7;8,1,1,1,Autotrophs,Limnetic,1,3
215,Detritus,3;4,1;3;4;5;6;7;8,1,1,1,Detritus,Detritus,1,3
